text,label
Fix bug in compose-schemata / comp-partial for optional args,1
Fix graph tests and add tests for new positional compilations,1
Fix and test ability to rename non-maps with [:x :as y],1
Proper fix for ability to rename non-maps with [:x :as y],1
better error messages for graph,0
Fix typos in docstrings,1
"Safe-get only prints keys on error, not whole target map",1
better lazy test -- make sure that lazy error checking happens,0
Fix bug in merge-disjoint with nil map,1
.,0
"adding references() to compiled unit.

the compiled unit now contains a references() function. the references
is resolved from the compiled units declaration content, not the
compiled content.",0
update to register(),0
fixing options.,1
"more updates to the resolver...

more updates to the resolver, added the compiler services in there.",0
fix up to lib.d.ts,0
adding line info to output,0
updated reflection sample,0
"upgrade to TS compiler 0.9 beta

updated compiler to beta (6/6/2013), emitter, declaration local units.",0
bringing back declaration and source mapping.,0
"added declarations to compiled unit object.

additional updates on d.ts files added to the resource (resx) folder.
the node.d.ts file now differs from the default in that it now contains
a portions of lib.d.ts minus the DOM specific API's and that all
declarations as no longer module scoped under the AMD quotation scheme.",0
fixed resx declaration file.,1
"Significant Refactoring of Compiler

Have refactored the compiler to make it more manageable, and have also
tried to solve the missing lambda, '_this' bug by way of double passing
on first load.",0
fixed up the npm stuff.,1
fix on register(),0
"fixing 'symbol' error on declaration.

simply not exporting declarations from the compiler. can be resolved
from the reflection metadata.",1
fixed top level reflection object,1
bump version,0
bump version,0
client initiates heartbeats and detects when connections are stale,0
bump version,0
"fix update to use ssl, specify the right parameters",1
fix an issue where closing a TCP tunnel caused an infinite loop of errors,1
"use nrsc to pack static data into the binaries, making adding assets easier and simplifying the build process",0
web ui address displayed properly in terminal,1
make sure every new tunnel connection and every new http connection has a read/write timeouts until handled by a tunnel. fix a bug where a slow tunnel or proxy connection could block all others. fix a bug where sending a non-expected valid ngrok protocol message over a new connection could leak a connection,1
switch back to Close() calls since CloseRead() seems to cause sockets not to flush their writes,1
add support for proxy authentication,0
add support for tunneling through http proxies,0
use type switching for different commands instead of type codes,0
add bug reporting instructions on crash,0
fix a bug which causes updates to be tried without delay after the first update interval,1
Use DumpRequest which includes all headers unlike it did in Go 1.0 instead of the hack to use DumpRequestOut which was limiting raw request body lengths to 8192 bytes. Fixes github issue #4.,1
fix a small print formatting in displaying the metrics reporting interval,1
fix a bug where ngrokd would reject http requests with an authorization header if the client had not specified any authentication necessary,1
fix race condition in logging initialization. go fmt,1
fix a race condition handling new proxy connections by passing the connection variable into the goroutine instead of closing over it,1
